name sigma sigma_e
UGC02261 326.8 13.1
UGC02261 308.9 6.6
NGC1107 228.2 8.0
IC0260 289.3 6.6
NGC1129 229.1 8.1
NGC1129 232.1 7.8
NGC1129 229.2 9.0
NGC1129 233.2 9.8
PGC011179 290.7 8.7
PGC011179 303.1 5.9
PGC011179 290.2 7.5
NGC1153 232.6 5.8
ARK094 239.2 5.4
UGC02450 261.6 15.9
UGC02470 164.7 10.7
UGC02495 209.4 8.2
PGC011516 138.4 11.7
NGC1194 170.8 4.9
PGC011586 47.8 69.3
PGC011621 256.1 11.3
PGC011632 221.3 13.0
PGC011632 243.6 12.8
IC0284 57.2 17.8
NGC1208 218.1 7.4
PGC2418553 172.1 15.9
IC1880 241.4 12.7
NGC1216 146.3 10.2
IC0288 189.2 9.0
NGC1207 162.3 15.2
NGC1218 341.8 9.6
PGC2797416 279.5 19.1
NGC1224 213.0 13.8
PGC3095627 164.9 14.2
PGC138608 289.0 22.9
PGC012039 255.6 9.7
IC1901 203.0 6.0
PGC012193 254.0 7.3
NGC1267 267.9 11.1
NGC1270 385.5 7.1
NGC1270 391.8 6.2
NGC1270 389.5 6.9
NGC1270 405.5 6.6
NGC1270 422.2 8.3
NGC1270 422.2 6.4
NGC1270 405.4 7.7
NGC1271 325.3 11.2
NGC1271 308.2 8.3
NGC1271 314.6 9.6
NGC1272 290.6 9.2
NGC1272 295.6 7.8
NGC1272 287.4 7.8
NGC1272 272.7 8.4
UGC02674 194.2 7.5
NGC1275 286.9 29.5
NGC1275 277.6 20.2
NGC1275 268.3 26.8
NGC1275 269.3 32.3
NGC1275 275.8 22.1
NGC1277 400.4 6.5
NGC1277 344.0 7.7
NGC1277 397.8 7.5
NGC1277 358.4 6.5
NGC1277 319.7 11.7
NGC1277 387.2 5.9
NGC1277 395.3 8.0
NGC1278 271.2 11.9
NGC1281 298.9 6.3
NGC1281 287.9 7.3
NGC1281 291.3 7.7
NGC1282 204.0 10.1
NGC1282 209.9 6.5
PGC012557 302.4 7.3
IC0313 240.4 7.8
PGC012562 285.6 7.8
PGC012562 298.7 7.7
PGC012562 282.7 7.5
PGC2797207 247.1 18.6
PGC012580 249.2 8.0
UGC02689 187.3 6.6
NGC1293 243.2 8.5
UGC02698 384.4 9.1
UGC02698 375.2 9.5
UGC02698 368.8 9.3
UGC02698 364.0 9.7
UGC02698 368.4 9.3
UGC02733 271.6 7.6
PGC213218 290.6 8.3
NGC1337 36.0 39.1
UGC02755 280.5 8.3
UGC02773 58.3 36.1
UGC02783 304.5 9.6
NGC1376 56.0 20.4
2M03380 289.3 21.2
PGC2690279 378.6 29.7
PGC1483518 305.8 10.9
PGC1483518 330.0 10.3
UGC02844 342.4 8.5
UGC02844 319.6 9.3
NGC1453 312.8 6.2
NGC1453 323.1 6.5
PGC2023632 272.3 26.4
PGC2023632 225.1 26.1
