name sigma sigma_e
NGC6207 30.0 24.1
NGC6207 22.3 27.6
NGC6223 293.0 6.0
PGC1022704 169.9 7.2
NGC6239 59.1 32.9
NGC6258 142.3 5.3
UGC10599 331.0 11.3
UGC10599 384.3 11.2
UGC10599 430.3 11.3
UGC10599 364.2 9.7
UGC10599 382.3 11.6
IC4630 218.3 9.6
NGC6269 322.8 7.1
PGC059512 170.5 5.3
PGC2817045 218.5 14.1
PGC1021213 117.0 26.9
NGC6323 144.2 6.6
NGC6329 295.7 11.1
NGC6359 230.4 6.4
PGC060030 273.3 8.2
UGC10814 197.5 10.4
MRK0506 200.0 33.8
PGC1084539 334.1 28.3
NGC6384 154.6 20.0
PGC1302291 51.8 42.6
PGC1347752 224.5 8.5
PGC200524 232.1 27.3
ARK525 220.7 8.9
NGC6503 28.2 25.3
NGC6508 279.8 6.7
PGC166871 206.8 21.2
PGC166871 239.2 13.7
NGC6482 315.6 5.4
NGC6482 318.6 5.6
NGC6482 303.3 19.5
NGC6482 292.8 19.0
NGC6482 309.9 16.8
NGC6482 271.7 19.7
NGC6487 285.4 9.6
NGC6487 286.1 5.5
NGC6487 280.6 5.7
NGC6495 225.0 5.3
UGC11041 146.3 26.6
NGC6521 263.7 10.2
NGC6500 219.8 4.1
PGC2308263 276.0 22.5
UGC11058 54.5 20.4
PGC061152 115.5 27.6
UGC11060 168.1 11.1
UGC11057 79.8 21.7
UGC11057 60.7 22.9
NGC6524 154.9 13.2
UGC11082 246.8 10.4
UGC11093 93.2 57.3
PGC061331 347.4 12.6
NGC6548 171.8 9.5
UGC11130 247.0 25.3
NGC6575 259.7 7.4
NGC6570 50.0 21.9
NGC6574 139.5 12.9
UGC11156 165.7 7.7
NGC6621 150.3 19.6
NGC6587 327.3 6.5
NGC6587 324.2 5.9
NGC6587 331.1 6.6
NGC6587 325.7 5.4
NGC6587 335.9 4.7
NGC6587 337.1 5.3
PGC140814 222.4 38.0
NGC6615 190.5 9.0
NGC6619 206.0 4.5
NGC6623 211.2 9.8
UGC11241 118.4 8.0
NGC6635 255.5 6.2
UGC11242 195.9 10.5
UGC11246 156.9 14.7
PGC166900 234.5 5.1
PGC2257255 17.3 26.9
NGC6658 209.5 8.9
NGC6660 221.5 7.4
NGC6690 60.5 49.6
PGC062082 229.8 54.7
UGC11298 278.4 9.8
UGC11298 296.1 9.2
PGC062122 299.8 10.1
UGC11315 225.0 7.8
NGC6688 229.8 9.0
PGC062332 281.6 12.3
UGC11353 163.7 11.7
PGC1588608 266.6 7.8
PGC100408 123.5 57.2
NGC6732 309.3 7.8
NGC6732 302.8 9.1
NGC6732 305.0 7.1
NGC6732 313.5 7.9
PGC062613 357.2 12.7
PGC1580722 271.2 12.4
PGC1580722 268.5 9.4
PGC062931 323.3 8.4
UGC11435 43.2 42.3
UGC11453 93.5 13.4
PGC090334 90.7 48.3
PGC204653 222.1 10.9
UGC11465 395.4 9.8
NGC6814 101.1 16.8
NGC6824 196.3 8.6
UGC11485 195.7 11.0
PGC090341 105.7 55.1
UGC11492 72.7 14.5
PGC063832 302.6 8.3
PGC063852 272.6 6.8
PGC063932 348.5 41.1
PGC063932 130.2 33.5
PGC064144 176.5 10.6
PGC090353 134.9 22.1
UGC11537 128.1 10.1
PGC979256 270.2 8.5
PGC064562 203.2 5.4
PGC992999 266.1 8.9
2M2024 33.1 21.9
NGC6915 179.1 7.7
NGC6921 212.5 10.3
NGC6928 182.6 10.5
UGC11592 134.1 11.6
NGC6926 161.2 14.1
NGC6926 212.2 28.6
PGC065021 211.7 8.9
NGC6952 115.2 6.4
PGC165861 309.6 28.4
PGC165861 290.6 39.5
PGC065257 161.9 7.0
PGC065257 167.3 7.8
NGC6956 111.1 8.5
MRK0509 10.3 47.5
NGC6962 207.5 9.7
2M20494 222.1 14.8
UGC11651 73.7 39.6
PGC1057358 270.9 13.2
NGC7013 106.8 6.4
NGC7025 238.4 7.5
NGC7025 238.9 7.6
NGC7025 234.5 7.9
NGC7025 229.2 11.3
NGC7025 244.3 37.4
PGC089171 160.8 43.6
PGC1067006 186.4 11.3
NGC7052 313.9 6.2
IC1371 269.4 12.0
PGC066592 198.0 9.0
PGC166712 158.0 90.1
NGC7053 208.5 9.0
PGC066627 253.2 8.3
PGC3089540 162.5 9.9
IC1392 218.9 8.2
PGC189130 355.3 19.8
PGC067084 200.7 28.7
PGC067084 224.4 22.1
PGC163280 279.8 9.3
PGC189711 282.1 6.8
PGC2800918 275.6 9.6
PGC167519 267.1 9.4
PGC985487 273.3 14.4
IC1411 323.2 13.4
NGC7177 124.4 5.2
NGC7197 181.6 11.2
2M22070 338.9 24.8
NGC7217 145.8 4.8
UGC11920 153.2 4.4
NGC7231 60.5 39.0
NGC7242 259.5 8.0
NGC7242 261.5 9.5
NGC7248 269.1 5.3
PGC068534 48.0 45.5
PGC068534 93.1 30.3
PGC068534 82.7 36.3
UGC11991 81.3 22.2
NGC7265 246.2 6.7
NGC7265 245.9 7.5
UGC12016 300.8 6.2
NGC7274 288.2 7.3
PGC068890 274.2 10.2
UGC12064 249.0 9.4
UGC12074 42.5 30.8
NGC7311 201.9 7.8
NGC7315 228.0 8.7
PGC087323 319.3 9.2
NGC7330 266.0 7.1
NGC7331 131.0 4.6
NGC7332 135.8 4.4
PGC069448 17.6 27.1
UGC12157 303.3 8.4
NGC7362 274.5 7.8
PGC168062 300.8 19.8
PGC168062 320.8 17.2
NGC7386 301.6 6.8
NGC7391 257.5 6.3
NGC7391 260.0 7.7
UGC12214 251.6 5.9
IC5258 187.2 9.1
NGC7396 241.7 8.3
NGC7406 49.5 19.4
NGC7426 295.8 7.2
NGC7426 298.9 7.4
NGC7436 312.8 6.4
ARP314 74.5 17.4
UGC12272 191.5 10.2
PGC070147 295.9 8.0
NGC7457 66.6 9.7
NGC7469 221.3 22.6
NGC7469 256.2 43.4
PGC3089639 218.6 7.7
MRK0315 186.5 42.8
NGC7485 257.1 7.0
IC5285 206.2 5.9
ARK575 258.7 6.4
ARK575 270.1 6.2
PGC070520 288.2 6.8
PGC070520 264.3 8.4
NGC7490 162.2 12.7
NGC7503 290.4 6.4
NGC7539 194.0 8.9
NGC7550 246.2 7.8
NGC7562 247.3 6.7
NGC7578B 303.4 8.0
UGC12482 321.6 8.3
NGC7583 352.2 8.4
UGC12496 160.6 6.8
NGC7603 245.1 24.6
IC1481 110.2 15.6
NGC7612 176.0 10.9
NGC7612 176.6 9.2
NGC7612 179.2 9.7
NGC7612 179.5 10.1
NGC7612 184.4 7.9
NGC7612 183.4 8.3
NGC7618 323.4 8.9
NGC7618 333.0 8.1
NGC7618 301.6 8.7
NGC7619 330.6 5.0
NGC7626 283.1 6.2
NGC7626 275.2 4.8
NGC7640 41.3 39.8
UGC12591 306.0 6.8
NGC7660 263.8 7.2
NGC7671 269.1 5.7
NGC7680 264.0 6.9
NGC7691 28.9 28.7
UGC12667 49.2 25.7
NGC7720 352.1 9.2
NGC7720 343.2 7.7
NGC7720 302.8 13.2
UGC12716 337.9 7.9
NGC7728 323.8 10.2
NGC7741 52.1 28.8
NGC7741 52.5 35.2
NGC7743 94.7 6.9
PGC196688 191.9 8.1
PGC072514 298.1 11.6
NGC7768 267.1 7.7
NGC7771 150.0 16.4
MRK0331 124.7 11.9
NGC7773 118.4 7.9
NGC7785 247.8 7.4
